,Unnamed: 0,store_id,store_name,score,review_cnt,review,ADJ,unique_adj,vector
0,0,1,きなり,3.49,28,"店に電話したら入れるとのことなので、「イベンター」な我がマイミクＦさんが5/10にイベントを開き、他のfacebookのグルメグループ管理人さんも6/24に取材した早稲田駅前「きなり」にようやく来れました。 　たまに行くグランド坂上「はちまん」とつい比べてしまいます。「きなり」は店内いかにも開店したてという綺麗な仕様で、綺麗ピカピカ。焼鳥も全然焦げ目がなく、見た目に非の打ち所がない。小皿料理が多いのも、長所でしょう。前菜の９点盛りに、マイミクさＦさんも含めて圧倒された人が多いようです。 　でも筆者は、昨秋に一度行って良かったのでオフ会も開いた浜松町駅と新橋駅の中間にある肉料理店で、前菜で15品小皿で出されたことを思い出しました。最近飲食店も競争が激化しているせいか？似たような出し方って、すぐ広まるようです。　マイミクＦさんは「5,000円前後でうまい和食を食いたいときは選択肢に入れても いい」とmixiでコメント、ＦＢグループ管理人さんは、 「きなりにははちまんにない洗練された雰囲気と焼鳥以外のつまみ系の食べ物が色々とありました」「純粋に焼鳥の味を堪能したい人ははちまん、飲みながら色々とつまみたい人はきなり、などの使い分けをされるのが良いかと思います。あ、それから初デートには断然、はちまんよりきなりをオススメいたします。」と両店の長所を深く洞察したコメントをされています。筆者の感想もほぼこれに尽きます。早稲田駅からほぼ濡れずに行かれる立地と内装は、「きなり」の大きな長所でしょう。 　蛇足ながら、デート向きはどちらか？となると、「はちまん」に行き始めたキッカケが《「鮨 三谷」「晴山」などで一人数万の食事を毎日食べ歩く富豪再独身マイミク嬢 [当時] から無理やり誘われたから》だと言えば、答えは出てますね。相手によって、店は選びましょう（爆）","['綺麗', '綺麗', 'ない', 'ない', '多い', '多い', '良い', 'うまい', 'いい', 'ない', '純粋', '深い']","{'ない', '純粋', '良い', 'うまい', '深い', '綺麗', '多い', 'いい'}",
1,1,1,きなり,3.49,28,お通しが豪華で美味しかったぁ～笑1枚目、小鉢が４つ。チビチビ食べてグビグビ飲める♪(*^^)o∀*∀o(^^*)♪前回はコースで利用してボリュームもあるし味も平均以上で、いいお店だなぁ～と思ったんです。この日は単品で。蟹身と蟹味噌を和えたもの、鳥モツ煮、は美味しかったです。串が…レバーが…備長炭の香り移りすぎ(ﾉД`)レバの香りしないよ…。おでんどれも大っきい！お値段以上。大根は焚き上げたのをタッパで保管して営業前に入れてるのかな？そんな沁みてないし芯が少し冷たかった(´-ω-`)はんぺんとさつま揚げは美味しかったです！しっかり弾力があるはんぺん、表面が上がりすぎてると言うかやな油が感じられないさつま揚げ！練り物大好きだから嬉しい鳥焼売鶏油と辣油？見た感じで油分が表面に浮いて出てるのはわかるのんですが味付けも独特で好みではなかったです。好きなものを色々摘もうと思ったのですがコースの方がどれも安定して美味しかったな(´-ω-`),"['豪華', '美味しい', 'いい', '美味しい', '大っきい', '冷たい', '美味しい', 'や', '大好き', '嬉しい', '独特', 'ない', '好き', '美味しい']","{'ない', '嬉しい', '豪華', '美味しい', '大っきい', '独特', '好き', 'や', '冷たい', 'いい', '大好き'}",
2,2,1,きなり,3.49,28,"平日の夜に初訪問。場所は、東京メトロ東西線の早稲田駅から徒歩で1～2分のところにあります。馬場下町交差点から近く、牛丼の「松屋」が入るビルの地下になりますね。右隣には「あゆみbooks」（文禄堂としてリニューアル済）、左隣には「オトボケ」があります。階段を降りていき、引き戸を開けて明るい店内に入ります。コートを預けて、カウンター席へ案内されました。ちなみに入り口から見て左側に4人がけのテーブル席もありました。また右手奥には、どれくらいの広さがあるか分かりませんが個室もあるようでした。いずれにせよ、この日は金曜日ということもあってか、全て予約で満席とのことでしたので、事前予約はしていった方が良いと思います。メニューは、コースとアラカルト両方あります。コースは3,200円、4,200円、5,800円（水炊き）があります。私たちはこのあとも考えて一番下のコースをオーダーすることにしました。まずは小皿の前菜が6皿出てきました。イワシやシラスおろし、なめろうなどです。すでに出来上がってるものを配膳していただく感じですが、どれもレベルは高めですね。このあとへの期待が膨らみます。次にやや普通なミニサラダが出てきます。種類は多めに揃えていますが、なんとなく見た目は改善の余地がありそうですね。その次に、いよいよ焼き鳥の串が登場。どれも良い火加減で、美味しさがしっかりと中に閉じ込められています。ハツやせせりがとても美味しかったですね。合計5串ですか、もう少し食べたかったです。茶碗蒸しを挟み、最後に鶏ガラのスープが出てきます。これがまた美味い。鶏の旨みがこれでもかというくらい凝縮されています。永遠に飲んでられるヤツです。お酒は飲んでいませんが、これで2人で8,300円くらい。サービス料5%込です。とても落ち着いた店内で、いい雰囲気ですし、店員さんもよく気がついてくれます。非常にリーズナブルだと感じました。また機会があれば、是非再訪したいお店ですね。ごちそうさまでした。","['明るい', '広い', '良い', '高め', '普通', '多め', 'ない', '良い', '美味しい', '美味い', 'いい', '非常', 'リーズナブル']","{'多め', 'ない', '非常', 'リーズナブル', '良い', '美味しい', '普通', '明るい', '高め', '広い', 'いい', '美味い'}",
3,3,1,きなり,3.49,28,"静岡にいる知人が東京に来ると連絡があり、久しぶりに飲むことになりました。その知人は早稲田に用事があると聞いたので、その近辺の美味しそうなお店を検索して、見つけた「きなり」さんにお邪魔することにしました。場所は、地下鉄東西線早稲田駅を上がり、早稲田通りを高田馬場方向に向かってすぐ、馬場下町交差点の手前にあるビルの地下１階です。正に早稲田大学のお膝元で、早稲田中学・高校のすぐ横になります。入店すると、すぐ目の前に厨房と白木の綺麗なカウンター席が広がり、あとボックス席や個室もあります。私達はカウンター席に案内されました。地上にあった看板にも満席である旨が書かれていましたので、予約しておいて良かったです。まず席に座って生ビールを注文すると、おしぼりとお通しが出されました。おしぼりはペパーミントの香りがします。そしてお通しですが、これが通常の量と質ではなく、赤いお盆に４つの小皿料理が並んでいました。「マグロの中落ち」「大根おろし 釜揚げしらす載せ」など、焼鳥とは全く関係のない料理ではあるものの、なかなか酒の肴としては洒落ています。生ビールとお通しを楽しみながら注文を考えます。まずは焼鳥を楽しんだ後で、後半はおすすめの「水炊き」で攻めることに決定。そこで以下をお願いしました。てばだんごせせり鴨ねぎ焼鳥メニューの中から、絶対に外せないもの、食べたいものを選びました。この４品に共通するのは素材の確かさ。鶏肉の銘柄は知りませんが、かなりハイレベルで、鶏肉本来の旨味を存分に味わえます。鶏肉は味が淡白なので、肉質や脂に素材の良し悪しが端的に出るのですが、此処の鶏肉は素材としては文句なしだと思います。焼きは勿論備長炭で、素材や部位により焼き方に工夫を凝らしてあり、どれも美味しくいただきました。ただ、個人的には繊細さが先に立っているように思え、焼鳥ならではの「単純に、美味い鶏肉を焼いて、旨味を閉じ込める」という豪快さが少し足りないかなとも感じました。そして「水炊き」をお願いします。まずは、大きな銅製の鍋の中にスープが張ってあり、中にはひな鳥が丸々一羽入っています。野菜はキノコがたっぷりで、シメジ・えのき茸・たもぎ茸・山えのきとバラエティに富んでいます。ひな鳥をぶつ切りにして火にかけ、最後に野菜類を加えて出来上がりです。こちらは、本当に豪快な料理法だけあって、素材の美味さがダイレクトに味わえ、出色の出来でした。博多の水炊きとは少し違う味わいですが、このお店ならではの素晴らしい一品で、これは注文して大正解でした。もちろん、最後の雑炊が絶品であったことは、言うまでもありませんよね。途中からは日本酒をいただきました。品揃えはすごく豊富とまではいきませんが、なかなか洒落た銘柄が揃っており、中から「極上吉野川 特別純米」「綿屋 特別純米美山錦」「甲子 純米吟醸」をチョイスしました。保存状態も良く期待通りの美味しさで、やはり鳥料理には日本酒が合います。全体的には、鶏肉の素材の良さと料理の技術に真価があるお店で、単純な焼鳥屋さんと言うよりは、ハイレベルな鳥料理のお店という感じです。特に鍋は絶品で、次回は是非好物の鴨鍋を食べてみたいですね。お勘定は２人で17,000円程度です。ご馳走様でした！","['美味しい', '綺麗', '良い', 'ない', '赤い', 'ない', '確か', '存分', '淡白', '端的', '美味しい', '個人的', '単純', '美味い', '豪快', '豪快', '美味い', 'ダイレクト', '素晴らしい', 'すごい', '豊富', '特別', '特別', '良い', '全体的', '良い', '単純']","{'端的', 'ない', '豪快', '素晴らしい', '美味しい', '綺麗', '豊富', '存分', '淡白', 'ダイレクト', '良い', '特別', 'すごい', '個人的', '単純', '全体的', '赤い', '確か', '美味い'}",
4,4,1,きなり,3.49,28,早稲田に1年半前に出来た「やきとり　きなり」。場所は地下鉄早稲田駅、早稲田中高の正門並び、地下。以前茜や珈琲店が入っていたところですね。焼き鳥が食べたくて土曜の夕方予約して2名で訪問しました。18時過ぎていましたが、先客はありません。着席すると、「仕入れの関係で焼き鳥は今日はお任せか、コースしかありません」とのことです。焼き鳥を食べに来たのに。気を取り直してメニューを見ると、料理もお酒も種類が少ないです。まずは白ワインをいただきます。以下、いただいたもの。お通し　800×２おまかせ7本1580×２浅漬け600ればームースハーフ450蒸し鶏と葉っぱのサラダ880グラスワイン白780プログラムレミアムモルツ650生レモンサワー580×２親子丼ハーフ680焼きおにぎり380サービス料10％、外税お通しは4種。ほうれん草の胡麻和え・ポテトサラダ・梅クラゲ・トロ沢。値段はあとで知ることになるわけですが、こういうお通し、要らないなあ。サラダは大きなお皿の中央にちょっぴり。焼き鳥お任せ7本は、ハツ・モモ・ズッキーニ・食道・皮・葱・イベリコ豚。モモはなかなか噛み切れない。焼き鳥お任せになぜかイベリコ豚。食べ終わるや否や、お皿をささっと下げるので何だか落ち着きません。調理もサービスも全体的に素人っぽさが印象に残ります。店内は広々としてこぎれいです。滞在時間1時間ちょっと。ちょっと不完全燃焼気味です。帰るころはもう2組来店していましたし、予約も入っているようです。レビューを読むと焼き鳥を楽しむというよりはお鍋に人気があるようですね。,"['少ない', '全体的', 'ぎれい']","{'全体的', '少ない', 'ぎれい'}",
5,5,1,きなり,3.49,28,ネット予約して訪問しました。早稲田駅から徒歩1分、早稲田中・高の近く、早稲田通りに面したビルの地下にあります。入口も店内も真新しいです。予約を告げるとカウンター席に案内されました。　店内を見渡すと、焼き場を囲むカウンター席と２つのボックス席、奥には個室があるみたいです。ボックス席も落ち着けそうです。　予約の際にお願いしてあった「おまかせコース」がスタートです。先ず出されたのは、９つの小皿に盛られた前菜です。ひじき、もずく、シラスおろし、といった定番から、筍、ホタルイカ、菜の花のお浸し、のような旬の物が、美しい小皿で出されました。観ているだけで楽しくなります。飲み物は、スパークリングワインをグラスで乾杯して、小皿をつまみます。飲み干すと、値段的にお手頃な白ワインをボトルでお願いしました。小皿の前菜は、いずれも淡白な味付けで白ワインにも良く合います。　ワインを飲みながら前菜をつまんでいる間にも、焼鳥が出されてきました。ゲゲッ、まだ半分くらい小皿が残ってます。急かされるように小皿を片付けます。最初の焼鳥は、ささみ。ワサビが載せられています。前菜の次に出された野菜は、彩り鮮やかで、添えられた味噌につけていただきます。焼鳥と同時にコースの料理がいろいろ出てきて、やや混乱します。個人的には、焼鳥は焼鳥で味わいたいので、焼鳥だけ続けて出して欲しいと感じました。　最初はカウンターに２組だけだったお客さんも、19時過ぎにはカウンターがほぼ埋まり、奥にある個室にもお客さんが案内されています。（早稲田）大学が休みの時期は、教職員のお客さんが減るのだと言っていましたが、なかなか繁盛しているみたいです。一旦個室に通されたお客さんは、予約していた人数が一人減ったからと、個室を出されてボックス席への移動を促されていました。お気の毒。　焼鳥は、ハツやセセリなど何本か出てきました。いい焼き加減です。さらに白ワインを１本追加します。鶏スープで〆ました、となるところですが、目の前にあるおでんの鍋が気になります。大根とつみれを注文しました。おでんなら、やはり日本酒です。「常きげん」で、おでんをつまみます。　だんだん満腹になってきました。そして、大分飲んだので酔っ払ってもきました。鶏スープを〆にいただき、飲み物はハイボールで〆ました。　お聞きすると、まだオープンして1年程だそうで、店内が真新しく感じられるのはそのせいですね。　ご馳走様。【おまかせコース】　　前菜「豆皿いろいろおつまみ9種盛り」　　お野菜　　酒肴　　焼き串５串（ささみワサビ、ハツ、せせり、など）　　蒸し物　　〆の鶏スープ,"['真新しい', '美しい', '楽しい', '手頃', '淡白', '鮮やか', '個人的', '欲しい', '気の毒', 'いい', '真新しい']","{'美しい', '欲しい', '淡白', '手頃', '気の毒', '真新しい', '個人的', '鮮やか', 'いい', '楽しい'}",
6,6,1,きなり,3.49,28,体調がイマイチ…でも、美味しいご飯を久々に食べたい…と病み上がり真っ只中でこちらのお店へ。早稲田の駅前は大学生向けのお店が沢山。本当にこんなトコにあるのー？って思いながら、通り過ぎしまいそうな地下にそこはありました。ガラリと木戸を開けると、そこは…カウンターとテーブルのシックなオトナな空間が広がってました。年齢層も30代オーバーの方々で、学生さんには気が引けちゃう感じ。ウン！ステキかも！と期待も上がり、早速オーダー。初めてなので、お任せの焼き鳥コースと、おでんの盛り合わせ、クリームチーズのカナッペ的なやつを頼みました。まずは突き出し。4品ものってて、ついつい「わ！」って声が出てしまう。ひじきの炊いたん、卯の花のとびっこのせ、ホタルイカの酢味噌和え、大根おろしに釜揚げしらすと本当に優しいお味のおばんざいでした。前菜なのに、体にじんわりしみわたるー。次はレバーチーズムース全粒粉のクラッカーの上に、レバーとクリームチーズを混ぜたペースト。その上にカラフルな野菜がオン！珍しいロマネスコが乗ってる！味はカリフラワー的ですねwこのチーズムースは癖になってしまいそう！鳥のレバーがまざりながらも、食べやすく仕上げてます♪そしてお任せ7本串がスタートしました。1)まるはつ 塩で仕上げで、串にまるんとしたハツです。歯ごたえのあるのを噛んでると旨味が広がります2)ももはタレで、王道ですがおいしー！3)ぼんじりだったかな？塩で4)さびはタレで。なにこれ？初めて！鳥の内臓らしいです。脂がのってておいしい5)ちぎもは塩で。レバーですが臭みがほぼなく甘さがひろがります。6)てばは塩で。柚子胡椒をちょっとのせると脂分がすっきり。7)せせりは安定のタレで。旨味がひろがります。間におでんの盛り合わせも。京風のお出汁ですね。大根がお出汁がしみて、上品！そして初めてみた赤こんにゃく！私ちくわぶと思って切ろうとしたら、弾力で飛んで行ってしまいました。周りからクスクス笑われ、流石に恥ずかしかったです。本当に使い勝手が良くて、上品なお店でした。オトナのデートに使いたいお店ですね。ゴチソウサマでした♪,"['美味しい', '沢山', 'シック', 'ステキ', '優しい', 'カラフル', '珍しい', 'おいしい', 'ない', '甘い', '恥ずかしい', '良い', '上品']","{'沢山', 'ない', 'シック', 'カラフル', '良い', '美味しい', '恥ずかしい', 'ステキ', 'おいしい', '上品', '甘い', '優しい', '珍しい'}",
7,7,1,きなり,3.49,28,2018.02 残業帰りにお邪魔～♪ 焼鳥が食べたいけどスーツが臭くなるのは嫌だから、竹屋はない(笑) そんな夜にはちょうどイイ♪ 気になっていた小綺麗な “きなり” へ 流石2月。フラっと入れました。 明るく広いカウンターに、先客一組 lucky～♪ 以下所望。 ・お通し￥800ポテサラ、なめろう、しらすおろし、鮟 肝四点盛り。コレだけで充分呑めマス。 ・プレモル￥650・砂肝￥250コレが一番かな… ・もも￥290・鴨ねぎ￥290・むね￥250むね肉？噛みきれん。火入れ今一つ ・甲子 立春朝搾り 純米吟醸 千景glass ￥640 五百万石&山田錦 色はクリスタルで透明。立春の朝搾り たてを夜お届け。なんともフルーティ♪ ・百十郎 とろとろ 純米吟醸 生原酒￥540五百万石 色は黄みがかったクリスタル。 バナナの皮の香り。酸もbalance良し。 百十郎に合わせて、レバチーズムース order したのにまだ出ないから違う酒を    ・きりんざん ぽたりぽたり￥680五百万石 バナナ香。色は百十郎より透明で水ぽい かな？レバームースには合わないね なんか、野菜が出て来ない？ ・アスパラ￥280・ズッキーニ￥210・レバームース￥800う～ん、べらぼうに焼鳥が旨いわけでも ないけど日本酒はイイね～ 今日は五百万石オシなline up だけど(笑)もう少しアテが欲しくてorder したレバ チーズムースはお二人様用。 失礼を承知で、beerを飲まれている隣のお客様におすそわけ。日本酒よりプレモルの方が合うしね。 駅近で使い勝手イイね。,"['臭い', '嫌', 'ない', 'イイ', '小綺麗', '明るい', '広い', '透明', 'フルーティ', '透明', 'べらぼう', '旨い', 'ない', '欲しい']","{'小綺麗', 'ない', '旨い', '嫌', '欲しい', '臭い', '透明', 'フルーティ', 'べらぼう', '明るい', '広い', 'イイ'}",
8,8,1,きなり,3.49,28,"2,5基準に、各項目の平均でだしてます。今回はサービスやCPで大きく点が下がりました。あとは焼き鳥と思って行った自分もダメだったかも。前から行きたかったが、ようやく訪問。入り口にはお香がたかれ、清潔感のある店内。連れが遅れていたため、一品物で炙り鶏皮ポン酢を追加。美味しかったが、メニューを眺めて不安が。日本酒にこだわりがあるそうだが、品揃えがパッとしない。カクテルやチューハイなどの割りものが多め。ビール、ワイン、ウイスキーなど色々置いてあるので選択肢は多く、その点はよいかも。焼き鳥という割りにコースに魚の刺身、メインも魚の焼き物。焼き鳥を追加しようにも串の種類も焼きの技術も物足りない。。焼き鳥と思わずいけば良かったのかも。備長炭を使ってると思われるが、正直焼きの技術はイマイチ。レアよりのミディアムレアだが、中心がまだ冷たいものも。人事移動などあったのかな焼き方の方が新人の教育に力を入れており、あまり目の前の串に集中してない感じもうける。ホールの方も、会話とかガン無視でカチャカチャ皿下げたり、ドリンクのお代わり取ろうとするし。他にも合ったのだが、規約に触れるそうなので割愛。サービス料は少額だけど、店の目指したい方向がよく分からない。店内の内装や洒落た豆皿の盛り合わせなどはよいし、食材もいいので、肝心の焼き鳥とサービスの質をあげてほしい。オープンカウンターだから、全部丸見えですので。まぁ、再訪はないです。","['大きい', 'ダメ', '美味しい', '多め', '多い', 'よい', '良い', '冷たい', 'よい', 'いい', '肝心', 'ほしい', 'ない']","{'大きい', '多め', 'ない', 'ダメ', 'ほしい', '肝心', '良い', '美味しい', '冷たい', '多い', 'いい', 'よい'}",
9,9,1,きなり,3.49,28,久々の再訪。今回は3人で。週末は飛び込みでは難しそうですので予約した方が無難です。繁盛してるようで何よりです。締めの親子丼がなくなって鶏の出汁スープになりましたが、このくらいが妥当かな。9種の小鉢盛り合わせのインパクトは相変わらずです。そうそう、今週からランチの営業も始めたみたいです。人気でそうだなぁ。,"['難しい', '無難']","{'難しい', '無難'}",
